sampleId,geneSymbol,expressionLevel
ESP003-104_Pre_Healthy,MS4A4A,0.050712
ESP003-104_Pre_Healthy,CLEC5A,-2.380147
ESP003-104_Pre_Healthy,ITGAM,-2.143562
ESP003-104_Pre_Healthy,MMP9,-0.503879
ESP003-104_Pre_Healthy,CD7,-3.288007
ESP003-104_Pre_Healthy,VHL,-2.457918
ESP003-104_Pre_Healthy,OLFML2B,-0.641407
ESP003-104_Pre_Healthy,IL6,-2.658148
ESP003-104_Pre_Healthy,TNFRSF1A,1.279885
ESP003-104_Pre_Healthy,DKK1,-1.067781
ESP003-104_Pre_Healthy,FANCA,-2.184441
ESP003-104_Pre_Healthy,TNF,-2.048181
ESP003-104_Pre_Healthy,LTB,-2.069457
ESP003-104_Pre_Healthy,PPARGC1B,-2.313038
ESP003-104_Pre_Healthy,RPS6KB1,-0.323655
ESP003-104_Pre_Healthy,CD38,-3.152945
ESP003-104_Pre_Healthy,DTX3L,0.771347
ESP003-104_Pre_Healthy,TMEM173,-0.834952
ESP003-104_Pre_Healthy,TYK2,5.078425
ESP003-104_Pre_Healthy,NEIL1,-0.82662
ESP003-104_Pre_Healthy,HELLS,-1.193155
ESP003-104_Pre_Healthy,TGFBR1,0.858853
ESP003-104_Pre_Healthy,MB21D1,-1.84448
ESP003-104_Pre_Healthy,CCR2,-2.790433
ESP003-104_Pre_Healthy,MSH2,-0.446417
ESP003-104_Pre_Healthy,RAD51,-2.25282
ESP003-104_Pre_Healthy,TNFRSF18,-1.256076
ESP003-104_Pre_Healthy,FCGR3A/B,-1.053978
ESP003-104_Pre_Healthy,STAT1,0.077458
ESP003-104_Pre_Healthy,CTSS,0.592706
ESP003-104_Pre_Healthy,PDK1,-0.003183
ESP003-104_Pre_Healthy,ITGAV,1.844055
ESP003-104_Pre_Healthy,ANGPT1,-1.687395
ESP003-104_Pre_Healthy,BCL6B,-1.893473
ESP003-104_Pre_Healthy,CDH2,-3.10057
ESP003-104_Pre_Healthy,CSF3R,-2.103361
ESP003-104_Pre_Healthy,RELB,-0.631094
ESP003-104_Pre_Healthy,HLA-G,5.482524
ESP003-104_Pre_Healthy,CXCL16,-0.389824
ESP003-104_Pre_Healthy,IL6R,-1.201368
ESP003-104_Pre_Healthy,PDGFA,-1.591312
ESP003-104_Pre_Healthy,PIK3R1,1.925196
ESP003-104_Pre_Healthy,HK1,0.392583
ESP003-104_Pre_Healthy,AXL,-0.502779
ESP003-104_Pre_Healthy,HK2,-0.512135
ESP003-104_Pre_Healthy,PDGFRB,1.344365
ESP003-104_Pre_Healthy,SMAD3,5.337255
ESP003-104_Pre_Healthy,FADD,-1.235182
ESP003-104_Pre_Healthy,CD74,4.487337
ESP003-104_Pre_Healthy,RIPK2,-0.925555
ESP003-104_Pre_Healthy,CD45RB,-2.199954
ESP003-104_Pre_Healthy,BAD,-1.004675
ESP003-104_Pre_Healthy,PKM,3.500546
ESP003-104_Pre_Healthy,KLRB1,-4.332845
ESP003-104_Pre_Healthy,ADORA2A,-2.849384
ESP003-104_Pre_Healthy,IFIT1,-1.085855
ESP003-104_Pre_Healthy,UBE2T,-2.226601
ESP003-104_Pre_Healthy,RPL23,5.818841
ESP003-104_Pre_Healthy,ARG2,-2.406493
ESP003-104_Pre_Healthy,TGFBR2,2.331215
ESP003-104_Pre_Healthy,CRABP2,1.477664
ESP003-104_Pre_Healthy,BLK,-1.434606
ESP003-104_Pre_Healthy,CCL14,1.730392
ESP003-104_Pre_Healthy,CCNB1,-1.10415
ESP003-104_Pre_Healthy,STAT2,1.228737
ESP003-104_Pre_Healthy,IKBKB,0.04761
ESP003-104_Pre_Healthy,ZEB2,1.821653
ESP003-104_Pre_Healthy,XIAP,6.353823
ESP003-104_Pre_Healthy,LRRC32,-0.508489
ESP003-104_Pre_Healthy,IL22RA1,-0.44547
ESP003-104_Pre_Healthy,ELOB,-0.863597
ESP003-104_Pre_Healthy,ITGA1,0.217238
ESP003-104_Pre_Healthy,IL24,-2.719901
ESP003-104_Pre_Healthy,PVRIG,-2.891833
ESP003-104_Pre_Healthy,RB1,0.05243
ESP003-104_Pre_Healthy,SRP54,0.36408
ESP003-104_Pre_Healthy,ICAM3,-3.030007
ESP003-104_Pre_Healthy,CCR5,-2.888849
ESP003-104_Pre_Healthy,CTLA4,-2.455712
ESP003-104_Pre_Healthy,GLS,-1.231999
ESP003-104_Pre_Healthy,GSK3B,6.089251
ESP003-104_Pre_Healthy,ITGAE,-0.575396
ESP003-104_Pre_Healthy,MET,-0.854762
ESP003-104_Pre_Healthy,WNT3A,-2.150033
ESP003-104_Pre_Healthy,TYMP,0.649391
ESP003-104_Pre_Healthy,IFI16,2.68244
ESP003-104_Pre_Healthy,PVR,-1.112394
ESP003-104_Pre_Healthy,P4HA2,0.133497
ESP003-104_Pre_Healthy,BRIP1,-2.095163
ESP003-104_Pre_Healthy,IL10RB,6.363988
ESP003-104_Pre_Healthy,ESR1,-2.345385
ESP003-104_Pre_Healthy,DAB2,0.312304
ESP003-104_Pre_Healthy,DUSP1,2.276532
ESP003-104_Pre_Healthy,CD8B,-1.875212
ESP003-104_Pre_Healthy,ACVR1C,-2.724554
ESP003-104_Pre_Healthy,IL15,-0.925529
ESP003-104_Pre_Healthy,KIR3DL1,-3.074455
ESP003-104_Pre_Healthy,CDH1,0.681048
ESP003-104_Pre_Healthy,HES1,-0.970694
ESP003-104_Pre_Healthy,IHH,-2.885143
ESP003-104_Pre_Healthy,CCL19,-0.426849
ESP003-104_Pre_Healthy,C2,-1.782655
ESP003-104_Pre_Healthy,TLR7,-2.964927
ESP003-104_Pre_Healthy,IL2RA,-2.860393
ESP003-104_Pre_Healthy,PRKAA2,-1.566401
ESP003-104_Pre_Healthy,COL11A2,-2.980411
ESP003-104_Pre_Healthy,TNFRSF10D,-1.388434
ESP003-104_Pre_Healthy,SIGLEC8,-3.44409
ESP003-104_Pre_Healthy,PC,-0.713868
ESP003-104_Pre_Healthy,IL17A,-3.750344
ESP003-104_Pre_Healthy,GLI1,-2.328693
ESP003-104_Pre_Healthy,GNG4,-1.99134
ESP003-104_Pre_Healthy,LDHB,1.882685
ESP003-104_Pre_Healthy,GATA3,7.939665
ESP003-104_Pre_Healthy,DTX4,-2.933144
ESP003-104_Pre_Healthy,CD3G,-1.190176
ESP003-104_Pre_Healthy,S100A8,6.096716
ESP003-104_Pre_Healthy,ZC3H12A,-2.650704
ESP003-104_Pre_Healthy,IER3,-0.722333
ESP003-104_Pre_Healthy,CD4,-0.838504
ESP003-104_Pre_Healthy,S100A12,-1.811665
ESP003-104_Pre_Healthy,CD6,-2.477461
ESP003-104_Pre_Healthy,CD163,-0.25873
ESP003-104_Pre_Healthy,DUSP2,-2.727979
ESP003-104_Pre_Healthy,HERC6,-1.893711
ESP003-104_Pre_Healthy,MRC1,-0.058402
ESP003-104_Pre_Healthy,DLL4,-2.649979
ESP003-104_Pre_Healthy,SAMSN1,-1.637641
ESP003-104_Pre_Healthy,CD28,-2.852386
ESP003-104_Pre_Healthy,TAP2,-0.679701
ESP003-104_Pre_Healthy,ICOS,-2.789677
ESP003-104_Pre_Healthy,TNFSF12,0.231095
ESP003-104_Pre_Healthy,IFITM2,2.166642
ESP003-104_Pre_Healthy,DNMT1,-0.982506
ESP003-104_Pre_Healthy,TNFSF8,-2.78735
ESP003-104_Pre_Healthy,TGFB2,-1.091473
ESP003-104_Pre_Healthy,TMEM140,-1.059317
ESP003-104_Pre_Healthy,COL11A1,-2.193229
ESP003-104_Pre_Healthy,GIMAP6,-0.874981
ESP003-104_Pre_Healthy,IRF4,-2.483545
ESP003-104_Pre_Healthy,BNIP3,-0.431205
ESP003-104_Pre_Healthy,FPR3,-2.067229
ESP003-104_Pre_Healthy,HLA-C,2.421323
ESP003-104_Pre_Healthy,VEGFC,-1.009807
ESP003-104_Pre_Healthy,SIGLEC1,-2.140463
ESP003-104_Pre_Healthy,BID,-1.87548
ESP003-104_Pre_Healthy,MAPK10,-1.999169
ESP003-104_Pre_Healthy,FCN1,-1.294163
ESP003-104_Pre_Healthy,H2AFX,-2.143536
ESP003-104_Pre_Healthy,CBLC,-1.493289
ESP003-104_Pre_Healthy,CASP3,-0.06269
ESP003-104_Pre_Healthy,CD226,3.212487
ESP003-104_Pre_Healthy,PIAS4,-0.993213
ESP003-104_Pre_Healthy,HLA-DRA,3.490526
ESP003-104_Pre_Healthy,ULBP2,-2.722173
ESP003-104_Pre_Healthy,CASP1,0.491535
ESP003-104_Pre_Healthy,MS4A2,-0.938648
ESP003-104_Pre_Healthy,HSD11B1,-0.446518
ESP003-104_Pre_Healthy,GAS1,-0.011826
ESP003-104_Pre_Healthy,FUT4,-1.990566
ESP003-104_Pre_Healthy,CSF1,-0.421462
ESP003-104_Pre_Healthy,FAM30A,-3.313165
ESP003-104_Pre_Healthy,ITPK1,0.283819
ESP003-104_Pre_Healthy,BCAT1,-1.821001
ESP003-104_Pre_Healthy,CD80,-3.377655
ESP003-104_Pre_Healthy,C1QB,0.140356
ESP003-104_Pre_Healthy,RELN,-1.929594
ESP003-104_Pre_Healthy,ICAM5,-2.483719
ESP003-104_Pre_Healthy,MAML2,-0.164757
ESP003-104_Pre_Healthy,OLR1,-3.147035
ESP003-104_Pre_Healthy,NFKBIE,-1.438094
ESP003-104_Pre_Healthy,WNT11,-1.063246
ESP003-104_Pre_Healthy,LILRA3,-1.263809
ESP003-104_Pre_Healthy,TNFSF13B,-2.241699
ESP003-104_Pre_Healthy,AIRE,3.236017
ESP003-104_Pre_Healthy,TDO2,-2.73575
ESP003-104_Pre_Healthy,MAP3K5,-0.481372
ESP003-104_Pre_Healthy,HLA-F,1.385175
ESP003-104_Pre_Healthy,CD3E,-2.190363
ESP003-104_Pre_Healthy,RRM2,-0.94241
ESP003-104_Pre_Healthy,C7,-0.300467
ESP003-104_Pre_Healthy,TNFRSF14,0.094891
ESP003-104_Pre_Healthy,FCGRT,1.83951
ESP003-104_Pre_Healthy,WNT2,-4.175308
ESP003-104_Pre_Healthy,MICB,-2.592952
