sampleId,geneSymbol,expressionLevel
GBR001-101_C2D28_Healthy,APLNR,-3.916045
GBR001-101_C2D28_Healthy,MXI1,-1.422799
GBR001-101_C2D28_Healthy,FZD9,-4.006335
GBR001-101_C2D28_Healthy,COL4A5,-2.461063
GBR001-101_C2D28_Healthy,FCAR,-4.554589
GBR001-101_C2D28_Healthy,BRCA2,-2.225666
GBR001-101_C2D28_Healthy,SFRP4,-3.915488
GBR001-101_C2D28_Healthy,TLR3,-0.127562
GBR001-101_C2D28_Healthy,IL2RG,-2.1222
GBR001-101_C2D28_Healthy,CD84,-0.382127
GBR001-101_C2D28_Healthy,HLA-DPA1,2.645492
GBR001-101_C2D28_Healthy,RBL2,0.603057
GBR001-101_C2D28_Healthy,CCL18,2.359167
GBR001-101_C2D28_Healthy,IRF3,-0.275613
GBR001-101_C2D28_Healthy,TNFRSF8,-4.970316
GBR001-101_C2D28_Healthy,KIR3DL2,-4.397089
GBR001-101_C2D28_Healthy,TNFSF13,-0.919585
GBR001-101_C2D28_Healthy,CLECL1,-3.605891
GBR001-101_C2D28_Healthy,TNFRSF10B,0.32063
GBR001-101_C2D28_Healthy,MAGEC2,-5.822936
GBR001-101_C2D28_Healthy,CDKN2A,-3.26975
GBR001-101_C2D28_Healthy,ADM,0.626652
GBR001-101_C2D28_Healthy,PNOC,-6.509339
GBR001-101_C2D28_Healthy,CD247,-1.476221
GBR001-101_C2D28_Healthy,PTPRC,0.541589
GBR001-101_C2D28_Healthy,OAS3,0.310408
GBR001-101_C2D28_Healthy,LAG3,-2.135276
GBR001-101_C2D28_Healthy,FOSL1,-1.544152
GBR001-101_C2D28_Healthy,EOMES,-3.175361
GBR001-101_C2D28_Healthy,IL10RA,-0.55535
GBR001-101_C2D28_Healthy,WDR76,-3.398285
GBR001-101_C2D28_Healthy,GPC4,-3.534825
GBR001-101_C2D28_Healthy,GTSF1,3.355336
GBR001-101_C2D28_Healthy,SLAMF7,-3.454416
GBR001-101_C2D28_Healthy,RSAD2,-0.881535
GBR001-101_C2D28_Healthy,TLR5,-2.647238
GBR001-101_C2D28_Healthy,VEGFA,0.079916
GBR001-101_C2D28_Healthy,ULBP3,2.210946
GBR001-101_C2D28_Healthy,COL5A1,1.026086
GBR001-101_C2D28_Healthy,CD3D,0.242959
GBR001-101_C2D28_Healthy,FBP1,-1.570315
GBR001-101_C2D28_Healthy,ERO1A,0.327799
GBR001-101_C2D28_Healthy,CCL21,1.740967
GBR001-101_C2D28_Healthy,E2F3,-1.308832
GBR001-101_C2D28_Healthy,LDHA,4.102246
GBR001-101_C2D28_Healthy,MS4A1,-3.942606
GBR001-101_C2D28_Healthy,CD69,-1.313999
GBR001-101_C2D28_Healthy,SERPINB5,1.807426
GBR001-101_C2D28_Healthy,FAP,-0.780502
GBR001-101_C2D28_Healthy,ITGA2,-0.757218
GBR001-101_C2D28_Healthy,SIGLEC5,-3.637329
GBR001-101_C2D28_Healthy,SIRPB2,-1.457195
GBR001-101_C2D28_Healthy,EPM2AIP1,-0.584162
GBR001-101_C2D28_Healthy,FGF18,-3.36239
GBR001-101_C2D28_Healthy,HRAS,1.308963
GBR001-101_C2D28_Healthy,CCND1,0.774888
GBR001-101_C2D28_Healthy,LAMB3,0.240166
GBR001-101_C2D28_Healthy,IL26,2.989732
GBR001-101_C2D28_Healthy,ID4,-0.123928
GBR001-101_C2D28_Healthy,ITK,5.140292
GBR001-101_C2D28_Healthy,CCL4,-2.251249
GBR001-101_C2D28_Healthy,GZMH,-2.666594
GBR001-101_C2D28_Healthy,API5,1.656037
GBR001-101_C2D28_Healthy,PTGER4,-0.847805
GBR001-101_C2D28_Healthy,ITGB8,-0.895455
GBR001-101_C2D28_Healthy,TNKS,-0.859551
GBR001-101_C2D28_Healthy,CEACAM1,4.270688
GBR001-101_C2D28_Healthy,B2M,6.391449
GBR001-101_C2D28_Healthy,TP53,0.165809
GBR001-101_C2D28_Healthy,MAGEB2,-3.384204
GBR001-101_C2D28_Healthy,LYZ,3.990004
GBR001-101_C2D28_Healthy,NCAM1,-2.753428
GBR001-101_C2D28_Healthy,TCL1A,-4.368588
GBR001-101_C2D28_Healthy,HDC,-4.815931
GBR001-101_C2D28_Healthy,CD27,-1.822931
GBR001-101_C2D28_Healthy,SBNO2,1.654353
GBR001-101_C2D28_Healthy,PECAM1,1.168366
GBR001-101_C2D28_Healthy,SERPINH1,0.003634
GBR001-101_C2D28_Healthy,SPP1,-1.687316
GBR001-101_C2D28_Healthy,EGFR,0.286856
GBR001-101_C2D28_Healthy,CASP8,-0.41434
GBR001-101_C2D28_Healthy,CCNA1,-4.464021
GBR001-101_C2D28_Healthy,TNFAIP3,-1.505765
GBR001-101_C2D28_Healthy,CDC25C,-4.164461
GBR001-101_C2D28_Healthy,CXCR6,-3.921692
GBR001-101_C2D28_Healthy,DLL1,-2.051655
GBR001-101_C2D28_Healthy,OAS1,0.895881
GBR001-101_C2D28_Healthy,HLA-DQB1,3.494176
GBR001-101_C2D28_Healthy,ROBO4,-3.606596
GBR001-101_C2D28_Healthy,NFKB1,0.359335
GBR001-101_C2D28_Healthy,IFI27,4.543612
GBR001-101_C2D28_Healthy,ULBP1,3.252766
GBR001-101_C2D28_Healthy,HLA-DMB,0.090521
GBR001-101_C2D28_Healthy,CDKN1C,-1.305023
GBR001-101_C2D28_Healthy,CEP55,-1.098017
GBR001-101_C2D28_Healthy,ARG1,2.191228
GBR001-101_C2D28_Healthy,PLOD2,-2.951325
GBR001-101_C2D28_Healthy,LAIR1,0.239435
GBR001-101_C2D28_Healthy,SHC2,-2.167896
GBR001-101_C2D28_Healthy,STAT3,1.996955
GBR001-101_C2D28_Healthy,CCL17,8.996927
GBR001-101_C2D28_Healthy,CD45RO,0.275722
GBR001-101_C2D28_Healthy,CD2,-1.206665
GBR001-101_C2D28_Healthy,IL7R,-0.84544
GBR001-101_C2D28_Healthy,FLNB,1.234664
GBR001-101_C2D28_Healthy,PSMB5,1.831003
GBR001-101_C2D28_Healthy,SLC1A5,0.548579
GBR001-101_C2D28_Healthy,RICTOR,0.034571
GBR001-101_C2D28_Healthy,ZAP70,-0.64823
GBR001-101_C2D28_Healthy,TNFAIP6,-1.16031
GBR001-101_C2D28_Healthy,BTLA,-4.571662
GBR001-101_C2D28_Healthy,RELA,0.271493
GBR001-101_C2D28_Healthy,STAT5B,5.843062
GBR001-101_C2D28_Healthy,MMP7,-0.355213
GBR001-101_C2D28_Healthy,TCF3,-0.864098
GBR001-101_C2D28_Healthy,IRF8,0.109418
GBR001-101_C2D28_Healthy,NOS2,-7.087826
GBR001-101_C2D28_Healthy,A2M,1.542543
GBR001-101_C2D28_Healthy,CCL20,-3.478038
GBR001-101_C2D28_Healthy,MKI67,-0.355133
GBR001-101_C2D28_Healthy,IFNGR1,2.467456
GBR001-101_C2D28_Healthy,INHBA,-2.438396
GBR001-101_C2D28_Healthy,WNT5B,-4.259585
GBR001-101_C2D28_Healthy,CXCL5,-2.945558
GBR001-101_C2D28_Healthy,SOX10,-1.958685
GBR001-101_C2D28_Healthy,EGR1,0.12645
GBR001-101_C2D28_Healthy,STAT4,-2.370173
GBR001-101_C2D28_Healthy,IFIT3,-0.579357
GBR001-101_C2D28_Healthy,GMIP,-2.411849
GBR001-101_C2D28_Healthy,ARNT2,-4.156625
GBR001-101_C2D28_Healthy,UBE2C,-0.929276
GBR001-101_C2D28_Healthy,IKZF1,6.991534
GBR001-101_C2D28_Healthy,CHUK,0.327909
GBR001-101_C2D28_Healthy,T3JAM,3.801203
GBR001-101_C2D28_Healthy,GHR,-1.913421
GBR001-101_C2D28_Healthy,TPI1,3.206759
GBR001-101_C2D28_Healthy,HAVCR2,-1.564118
GBR001-101_C2D28_Healthy,GOT2,-1.157518
GBR001-101_C2D28_Healthy,PIK3CA,-0.657982
GBR001-101_C2D28_Healthy,TNFSF9,-3.043503
GBR001-101_C2D28_Healthy,IDO1,-0.743071
GBR001-101_C2D28_Healthy,APOE,3.088105
GBR001-101_C2D28_Healthy,AICDA,1.252766
GBR001-101_C2D28_Healthy,LILRB2,0.710385
GBR001-101_C2D28_Healthy,PARP4,-0.005859
GBR001-101_C2D28_Healthy,PFKM,-2.394984
GBR001-101_C2D28_Healthy,THY1,1.664192
GBR001-101_C2D28_Healthy,SAMD9,-0.330564
GBR001-101_C2D28_Healthy,TGFB1,2.159165
GBR001-101_C2D28_Healthy,FCGR3A,6.58189
GBR001-101_C2D28_Healthy,CD8A,-0.772466
GBR001-101_C2D28_Healthy,SELE,-1.490447
GBR001-101_C2D28_Healthy,CDKN2B,-1.10489
GBR001-101_C2D28_Healthy,CD5,-2.366842
GBR001-101_C2D28_Healthy,HLA-A,6.005655
GBR001-101_C2D28_Healthy,FZD8,-3.617598
GBR001-101_C2D28_Healthy,BCL2L1,0.529993
GBR001-101_C2D28_Healthy,TNFRSF9,-2.343759
GBR001-101_C2D28_Healthy,XCL1/2,0.269007
GBR001-101_C2D28_Healthy,MAGEA4,-6.163679
GBR001-101_C2D28_Healthy,PMS2,-1.224732
