sampleId,geneSymbol,expressionLevel
GBR001-105_Pre_Healthy,CLEC4E,-2.435563
GBR001-105_Pre_Healthy,IL18R1,-0.850126
GBR001-105_Pre_Healthy,MFNG,-0.362942
GBR001-105_Pre_Healthy,TTC30A,-0.709424
GBR001-105_Pre_Healthy,TNFRSF10C,-0.445172
GBR001-105_Pre_Tumor,IGHG1,7.343731
GBR001-105_Pre_Tumor,CCNO,-3.070632
GBR001-105_Pre_Tumor,MYC,1.707734
GBR001-105_Pre_Tumor,CD79A,-3.724381
GBR001-105_Pre_Tumor,FSTL3,-1.531316
GBR001-105_Pre_Tumor,VCAN,1.196333
GBR001-105_Pre_Tumor,CX3CL1,0.586054
GBR001-105_Pre_Tumor,ERBB2,-0.080048
GBR001-105_Pre_Tumor,FAM124B,-2.780193
GBR001-105_Pre_Tumor,AKT1,2.116987
GBR001-105_Pre_Tumor,SMAD4,7.501151
GBR001-105_Pre_Tumor,KDR,-2.099798
GBR001-105_Pre_Tumor,EGF,-4.290233
GBR001-105_Pre_Tumor,MAGEA12,-4.719927
GBR001-105_Pre_Tumor,IFNA1,-4.761583
GBR001-105_Pre_Tumor,TGFB3,-0.725833
GBR001-105_Pre_Tumor,MFGE8,1.25671
GBR001-105_Pre_Tumor,CXCL2,0.543675
GBR001-105_Pre_Tumor,CCND2,0.326974
GBR001-105_Pre_Tumor,PDZK1IP1,0.13557
GBR001-105_Pre_Tumor,JAG2,-2.64124
GBR001-105_Pre_Tumor,C5,-2.917563
GBR001-105_Pre_Tumor,CD79B,-2.975089
GBR001-105_Pre_Tumor,CXCR2,-1.696847
GBR001-105_Pre_Tumor,PSMB10,0.705385
GBR001-105_Pre_Tumor,ZEB1,1.463419
GBR001-105_Pre_Tumor,ANLN,-2.604609
GBR001-105_Pre_Tumor,TAF3,-2.9021
GBR001-105_Pre_Tumor,CD276,0.566058
GBR001-105_Pre_Tumor,ICAM1,1.04303
GBR001-105_Pre_Tumor,IL16,0.777352
GBR001-105_Pre_Tumor,CXCL3,-2.414661
GBR001-105_Pre_Tumor,PRR5,-1.436817
GBR001-105_Pre_Tumor,CTSW,-3.185826
GBR001-105_Pre_Tumor,CXCR4,-1.562937
GBR001-105_Pre_Tumor,IFNGR2,2.695028
GBR001-105_Pre_Tumor,CDH11,-0.183183
GBR001-105_Pre_Tumor,COL6A3,1.661429
GBR001-105_Pre_Tumor,GZMK,-0.878617
GBR001-105_Pre_Tumor,IRF2,-0.127087
GBR001-105_Pre_Tumor,RPL7A,6.095275
GBR001-105_Pre_Tumor,GPR160,-1.787845
GBR001-105_Pre_Tumor,MICA,-0.296866
GBR001-105_Pre_Tumor,TAPBPL,-0.387522
GBR001-105_Pre_Tumor,LCP1,10.385023
GBR001-105_Pre_Tumor,CXCL14,6.178233
GBR001-105_Pre_Tumor,CD14,2.163657
GBR001-105_Pre_Tumor,IL18,1.863526
GBR001-105_Pre_Tumor,CLEC14A,-0.716528
GBR001-105_Pre_Tumor,HMGB1,-0.893755
GBR001-105_Pre_Tumor,KIF2C,-3.081586
GBR001-105_Pre_Tumor,DNMT3A,6.444277
GBR001-105_Pre_Tumor,RNLS,-3.621201
GBR001-105_Pre_Tumor,RPTOR,-0.610222
GBR001-105_Pre_Tumor,CD68,0.457623
GBR001-105_Pre_Tumor,CCL13,0.356343
GBR001-105_Pre_Tumor,CYBB,1.984569
GBR001-105_Pre_Tumor,PLA2G2A,-0.020278
GBR001-105_Pre_Tumor,FGF13,-3.426672
GBR001-105_Pre_Tumor,CNTFR,-1.153951
GBR001-105_Pre_Tumor,CD244,-2.410023
GBR001-105_Pre_Tumor,CSF2RB,-0.731923
GBR001-105_Pre_Tumor,MAP3K7,0.033458
GBR001-105_Pre_Tumor,FASLG,-1.727958
GBR001-105_Pre_Tumor,CD209,-0.376466
GBR001-105_Pre_Tumor,IRF7,-0.74157
GBR001-105_Pre_Tumor,PTCD2,-3.179734
GBR001-105_Pre_Tumor,PIK3R2,0.088099
GBR001-105_Pre_Tumor,ULBP6(RAET1L),4.033154
GBR001-105_Pre_Tumor,LILRA5,-3.310705
GBR001-105_Pre_Tumor,IL32,0.821749
GBR001-105_Pre_Tumor,CCND3,-0.491686
GBR001-105_Pre_Tumor,BIRC5,-1.661767
GBR001-105_Pre_Tumor,LGALS9,1.251371
GBR001-105_Pre_Tumor,RASAL1,-3.54978
GBR001-105_Pre_Tumor,PDCD1LG2,-0.310578
GBR001-105_Pre_Tumor,IL11,-3.158589
GBR001-105_Pre_Tumor,PRKX,-4.214964
GBR001-105_Pre_Tumor,SNCA,-1.129008
GBR001-105_Pre_Tumor,ADGRE1,-4.90534
GBR001-105_Pre_Tumor,IL1F7,6.088577
GBR001-105_Pre_Tumor,PSMB9,2.06448
GBR001-105_Pre_Tumor,RUNX3,-0.749132
GBR001-105_Pre_Tumor,PGPEP1,-1.717469
GBR001-105_Pre_Tumor,MELK,-2.553584
GBR001-105_Pre_Tumor,ISG15,1.192519
GBR001-105_Pre_Tumor,EIF2B4,-2.895161
GBR001-105_Pre_Tumor,IRF9,0.324521
GBR001-105_Pre_Tumor,IL1A,-4.050609
GBR001-105_Pre_Tumor,FCRL2,-4.844704
GBR001-105_Pre_Tumor,EIF4EBP1,-0.303633
GBR001-105_Pre_Tumor,LTBP1,1.435879
GBR001-105_Pre_Tumor,CD40LG,-1.716175
