sampleId,geneSymbol,expressionLevel
GBR003-102_C2D28_Tumor,PRKCA,-1.383849
GBR003-102_C2D28_Tumor,TSLP,-1.330694
GBR003-102_C2D28_Tumor,HLA-DOB,-1.635803
GBR003-102_C2D28_Tumor,ANGPTL4,-1.284714
GBR003-102_C2D28_Tumor,TNFRSF25,0.731352
GBR003-102_C2D28_Tumor,MS4A4A,0.186929
GBR003-102_C2D28_Tumor,CLEC5A,-1.510445
GBR003-102_C2D28_Tumor,ITGAM,-0.954443
GBR003-102_C2D28_Tumor,MMP9,-1.122114
GBR003-102_C2D28_Tumor,CD7,-2.821354
GBR003-102_C2D28_Tumor,VHL,-2.051906
GBR003-102_C2D28_Tumor,OLFML2B,-0.730272
GBR003-102_C2D28_Tumor,IL6,-2.539418
GBR003-102_C2D28_Tumor,TNFRSF1A,1.769133
GBR003-102_C2D28_Tumor,DKK1,-2.386456
GBR003-102_C2D28_Tumor,FANCA,-2.387639
GBR003-102_C2D28_Tumor,TNF,-1.270488
GBR003-102_C2D28_Tumor,LTB,-0.283302
GBR003-102_C2D28_Tumor,PPARGC1B,-2.060007
GBR003-102_C2D28_Tumor,RPS6KB1,-0.619962
GBR003-102_C2D28_Tumor,CD38,-2.564729
GBR003-102_C2D28_Tumor,DTX3L,1.250959
GBR003-102_C2D28_Tumor,TMEM173,-0.014746
GBR003-102_C2D28_Tumor,TYK2,5.313479
GBR003-102_C2D28_Tumor,NEIL1,-0.938503
GBR003-102_C2D28_Tumor,HELLS,-1.682107
GBR003-102_C2D28_Tumor,TGFBR1,0.595377
GBR003-102_C2D28_Tumor,MB21D1,-1.569631
GBR003-102_C2D28_Tumor,CCR2,-1.85933
GBR003-102_C2D28_Tumor,MSH2,-1.035507
GBR003-102_C2D28_Tumor,RAD51,-2.487727
GBR003-102_C2D28_Tumor,TNFRSF18,-1.820872
GBR003-102_C2D28_Tumor,FCGR3A/B,-1.900483
GBR003-102_C2D28_Tumor,STAT1,0.801904
GBR003-102_C2D28_Tumor,CTSS,1.301832
GBR003-102_C2D28_Tumor,PDK1,-1.106846
GBR003-102_C2D28_Tumor,ITGAV,1.695617
GBR003-102_C2D28_Tumor,ANGPT1,-1.903084
GBR003-102_C2D28_Tumor,BCL6B,-2.149139
GBR003-102_C2D28_Tumor,CDH2,-2.174485
GBR003-102_C2D28_Tumor,CSF3R,-2.136635
GBR003-102_C2D28_Tumor,RELB,-0.373202
GBR003-102_C2D28_Tumor,HLA-G,5.574033
GBR003-102_C2D28_Tumor,CXCL16,-0.587951
GBR003-102_C2D28_Tumor,IL6R,-0.626959
GBR003-102_C2D28_Tumor,PDGFA,-1.110012
GBR003-102_C2D28_Tumor,PIK3R1,0.701038
GBR003-102_C2D28_Tumor,HK1,0.446896
GBR003-102_C2D28_Tumor,AXL,-1.002775
GBR003-102_C2D28_Tumor,HK2,-0.530909
GBR003-102_C2D28_Tumor,PDGFRB,1.204177
GBR003-102_C2D28_Tumor,SMAD3,5.420361
GBR003-102_C2D28_Tumor,FADD,-0.853418
GBR003-102_C2D28_Tumor,CD74,5.79285
GBR003-102_C2D28_Tumor,RIPK2,-1.309325
GBR003-102_C2D28_Tumor,CD45RB,-1.03683
GBR003-102_C2D28_Tumor,BAD,-0.970834
GBR003-102_C2D28_Tumor,PKM,3.809747
GBR003-102_C2D28_Tumor,KLRB1,-4.851545
GBR003-102_C2D28_Tumor,ADORA2A,-2.730654
GBR003-102_C2D28_Tumor,IFIT1,-0.829621
GBR003-102_C2D28_Tumor,UBE2T,-2.885479
GBR003-102_C2D28_Tumor,RPL23,4.708896
GBR003-102_C2D28_Tumor,ARG2,-2.287763
GBR003-102_C2D28_Tumor,TGFBR2,2.096308
GBR003-102_C2D28_Tumor,CRABP2,2.324096
GBR003-102_C2D28_Tumor,BLK,-1.052841
GBR003-102_C2D28_Tumor,CCL14,1.846295
GBR003-102_C2D28_Tumor,CCNB1,-0.030508
GBR003-102_C2D28_Tumor,STAT2,1.098723
GBR003-102_C2D28_Tumor,IKBKB,0.215249
GBR003-102_C2D28_Tumor,ZEB2,1.399237
GBR003-102_C2D28_Tumor,XIAP,6.274953
GBR003-102_C2D28_Tumor,LRRC32,-0.267424
GBR003-102_C2D28_Tumor,IL22RA1,-0.923981
GBR003-102_C2D28_Tumor,ELOB,-1.937512
GBR003-102_C2D28_Tumor,ITGA1,0.211979
GBR003-102_C2D28_Tumor,IL24,-1.823563
GBR003-102_C2D28_Tumor,PVRIG,-1.673567
GBR003-102_C2D28_Tumor,RB1,0.609804
GBR003-102_C2D28_Tumor,SRP54,0.603491
GBR003-102_C2D28_Tumor,ICAM3,-1.627971
GBR003-102_C2D28_Tumor,CCR5,-2.185157
GBR003-102_C2D28_Tumor,CTLA4,-0.456564
GBR003-102_C2D28_Tumor,GLS,-1.013733
GBR003-102_C2D28_Tumor,GSK3B,5.502646
GBR003-102_C2D28_Tumor,ITGAE,-0.778594
GBR003-102_C2D28_Tumor,MET,-0.811584
GBR003-102_C2D28_Tumor,WNT3A,-1.358878
GBR003-102_C2D28_Tumor,TYMP,2.533238
GBR003-102_C2D28_Tumor,IFI16,2.834336
GBR003-102_C2D28_Tumor,PVR,-0.684336
GBR003-102_C2D28_Tumor,P4HA2,-0.057628
GBR003-102_C2D28_Tumor,BRIP1,-1.425418
GBR003-102_C2D28_Tumor,IL10RB,6.19506
GBR003-102_C2D28_Tumor,ESR1,-2.559231
GBR003-102_C2D28_Tumor,DAB2,0.962885
GBR003-102_C2D28_Tumor,DUSP1,2.804875
GBR003-102_C2D28_Tumor,CD8B,-0.586557
GBR003-102_C2D28_Tumor,ACVR1C,-2.66856
GBR003-102_C2D28_Tumor,IL15,-0.250405
GBR003-102_C2D28_Tumor,KIR3DL1,-1.66027
GBR003-102_C2D28_Tumor,CDH1,0.491333
GBR003-102_C2D28_Tumor,HES1,-0.673818
GBR003-102_C2D28_Tumor,IHH,-1.676216
GBR003-102_C2D28_Tumor,CCL19,0.680199
GBR003-102_C2D28_Tumor,C2,-0.216466
GBR003-102_C2D28_Tumor,TLR7,-1.801803
GBR003-102_C2D28_Tumor,IL2RA,-1.764384
GBR003-102_C2D28_Tumor,PRKAA2,-1.412906
GBR003-102_C2D28_Tumor,COL11A2,-2.276719
GBR003-102_C2D28_Tumor,TNFRSF10D,-1.591632
GBR003-102_C2D28_Tumor,SIGLEC8,-2.270913
GBR003-102_C2D28_Tumor,PC,-2.060802
GBR003-102_C2D28_Tumor,IL17A,-3.487224
GBR003-102_C2D28_Tumor,GLI1,-2.347467
GBR003-102_C2D28_Tumor,GNG4,-1.609576
GBR003-102_C2D28_Tumor,LDHB,1.321877
GBR003-102_C2D28_Tumor,GATA3,6.635704
GBR003-102_C2D28_Tumor,DTX4,-2.293582
GBR003-102_C2D28_Tumor,CD3G,-0.749518
GBR003-102_C2D28_Tumor,S100A8,7.635482
GBR003-102_C2D28_Tumor,ZC3H12A,-1.461585
GBR003-102_C2D28_Tumor,IER3,-0.670717
GBR003-102_C2D28_Tumor,CD4,0.375383
GBR003-102_C2D28_Tumor,S100A12,0.565217
GBR003-102_C2D28_Tumor,CD6,-1.114806
GBR003-102_C2D28_Tumor,CD163,0.062242
GBR003-102_C2D28_Tumor,DUSP2,-0.957172
GBR003-102_C2D28_Tumor,HERC6,-1.618862
GBR003-102_C2D28_Tumor,MRC1,1.23303
GBR003-102_C2D28_Tumor,DLL4,-2.010417
GBR003-102_C2D28_Tumor,SAMSN1,-0.24945
GBR003-102_C2D28_Tumor,CD28,-1.689262
GBR003-102_C2D28_Tumor,TAP2,0.060517
GBR003-102_C2D28_Tumor,ICOS,-1.979069
GBR003-102_C2D28_Tumor,TNFSF12,0.547764
GBR003-102_C2D28_Tumor,IFITM2,2.385739
GBR003-102_C2D28_Tumor,DNMT1,-1.015779
GBR003-102_C2D28_Tumor,TNFSF8,-2.337414
GBR003-102_C2D28_Tumor,TGFB2,-2.00927
GBR003-102_C2D28_Tumor,TMEM140,-0.734136
GBR003-102_C2D28_Tumor,COL11A1,-2.377062
GBR003-102_C2D28_Tumor,GIMAP6,-0.782723
GBR003-102_C2D28_Tumor,IRF4,-1.48346
GBR003-102_C2D28_Tumor,BNIP3,0.357376
GBR003-102_C2D28_Tumor,FPR3,0.364383
GBR003-102_C2D28_Tumor,HLA-C,3.349369
GBR003-102_C2D28_Tumor,VEGFC,-0.818564
GBR003-102_C2D28_Tumor,SIGLEC1,-0.366382
