sampleId,geneSymbol,expressionLevel
USA002-102_C2D28_Healthy,NLRP3,-2.869846
USA002-102_C2D28_Healthy,DEFB134,-2.749381
USA002-102_C2D28_Healthy,HLA-DQA2,0.208382
USA002-102_C2D28_Healthy,IGHM,4.047752
USA002-102_C2D28_Healthy,CX3CR1,-2.125854
USA002-102_C2D28_Healthy,APLNR,-1.548623
USA002-102_C2D28_Healthy,MXI1,0.050411
USA002-102_C2D28_Healthy,FZD9,-2.747335
USA002-102_C2D28_Healthy,COL4A5,-0.480957
USA002-102_C2D28_Healthy,FCAR,-4.421361
USA002-102_C2D28_Healthy,BRCA2,-2.700243
USA002-102_C2D28_Healthy,SFRP4,-0.931318
USA002-102_C2D28_Healthy,TLR3,0.520478
USA002-102_C2D28_Healthy,IL2RG,-2.403743
USA002-102_C2D28_Healthy,CD84,-1.635919
USA002-102_C2D28_Healthy,HLA-DPA1,1.590749
USA002-102_C2D28_Healthy,RBL2,0.688648
USA002-102_C2D28_Healthy,CCL18,-2.178017
USA002-102_C2D28_Healthy,IRF3,0.950367
USA002-102_C2D28_Healthy,TNFRSF8,-3.387225
USA002-102_C2D28_Healthy,KIR3DL2,-2.131171
USA002-102_C2D28_Healthy,TNFSF13,-0.876333
USA002-102_C2D28_Healthy,CLECL1,-3.57301
USA002-102_C2D28_Healthy,TNFRSF10B,0.180006
USA002-102_C2D28_Healthy,MAGEC2,-3.855189
USA002-102_C2D28_Healthy,CDKN2A,0.160433
USA002-102_C2D28_Healthy,ADM,-0.797927
USA002-102_C2D28_Healthy,PNOC,-2.477227
USA002-102_C2D28_Healthy,CD247,-1.235452
USA002-102_C2D28_Healthy,PTPRC,-0.521867
USA002-102_C2D28_Healthy,OAS3,-0.583335
USA002-102_C2D28_Healthy,LAG3,-2.985146
USA002-102_C2D28_Healthy,FOSL1,-2.475986
USA002-102_C2D28_Healthy,EOMES,-2.927937
USA002-102_C2D28_Healthy,IL10RA,-2.159917
USA002-102_C2D28_Healthy,WDR76,-2.840006
USA002-102_C2D28_Healthy,GPC4,-2.564566
USA002-102_C2D28_Healthy,GTSF1,3.524588
USA002-102_C2D28_Healthy,SLAMF7,-3.778824
USA002-102_C2D28_Healthy,RSAD2,-1.673921
USA002-102_C2D28_Healthy,TLR5,-1.484446
USA002-102_C2D28_Healthy,VEGFA,-0.97093
USA002-102_C2D28_Healthy,ULBP3,4.518102
USA002-102_C2D28_Healthy,COL5A1,1.305823
USA002-102_C2D28_Healthy,CD3D,-1.181961
USA002-102_C2D28_Healthy,FBP1,-2.559594
USA002-102_C2D28_Healthy,ERO1A,-0.775361
USA002-102_C2D28_Healthy,CCL21,1.791495
USA002-102_C2D28_Healthy,E2F3,-1.32051
USA002-102_C2D28_Healthy,LDHA,3.0865
USA002-102_C2D28_Healthy,MS4A1,-1.863111
USA002-102_C2D28_Healthy,CD69,-0.262676
USA002-102_C2D28_Healthy,SERPINB5,3.038633
USA002-102_C2D28_Healthy,FAP,-1.942745
USA002-102_C2D28_Healthy,ITGA2,0.943731
USA002-102_C2D28_Healthy,SIGLEC5,-2.914966
USA002-102_C2D28_Healthy,SIRPB2,-2.39824
USA002-102_C2D28_Healthy,EPM2AIP1,-0.132017
USA002-102_C2D28_Healthy,FGF18,-1.040298
USA002-102_C2D28_Healthy,HRAS,1.27769
USA002-102_C2D28_Healthy,CCND1,2.755827
USA002-102_C2D28_Healthy,LAMB3,0.679546
USA002-102_C2D28_Healthy,IL26,4.946432
USA002-102_C2D28_Healthy,ID4,1.162355
USA002-102_C2D28_Healthy,ITK,5.726165
USA002-102_C2D28_Healthy,CCL4,-1.698554
USA002-102_C2D28_Healthy,GZMH,-3.324394
USA002-102_C2D28_Healthy,API5,1.603976
USA002-102_C2D28_Healthy,PTGER4,-1.285256
USA002-102_C2D28_Healthy,ITGB8,-1.06873
USA002-102_C2D28_Healthy,TNKS,-1.370628
USA002-102_C2D28_Healthy,CEACAM1,4.608377
USA002-102_C2D28_Healthy,B2M,5.941673
USA002-102_C2D28_Healthy,TP53,1.18016
USA002-102_C2D28_Healthy,MAGEB2,-2.367164
USA002-102_C2D28_Healthy,LYZ,3.27632
USA002-102_C2D28_Healthy,NCAM1,-2.172263
USA002-102_C2D28_Healthy,TCL1A,-4.947476
USA002-102_C2D28_Healthy,HDC,-2.196077
USA002-102_C2D28_Healthy,CD27,-2.241101
USA002-102_C2D28_Healthy,SBNO2,0.426557
USA002-102_C2D28_Healthy,PECAM1,0.711954
USA002-102_C2D28_Healthy,SERPINH1,0.455971
USA002-102_C2D28_Healthy,SPP1,-2.415621
USA002-102_C2D28_Healthy,EGFR,0.382584
USA002-102_C2D28_Healthy,CASP8,-1.413319
USA002-102_C2D28_Healthy,CCNA1,-3.716894
USA002-102_C2D28_Healthy,TNFAIP3,-2.687017
USA002-102_C2D28_Healthy,CDC25C,-2.477503
USA002-102_C2D28_Healthy,CXCR6,-4.098279
USA002-102_C2D28_Healthy,DLL1,-0.235208
USA002-102_C2D28_Healthy,OAS1,0.250516
USA002-102_C2D28_Healthy,HLA-DQB1,0.342041
USA002-102_C2D28_Healthy,ROBO4,-3.595463
USA002-102_C2D28_Healthy,NFKB1,0.066281
USA002-102_C2D28_Healthy,IFI27,2.944177
USA002-102_C2D28_Healthy,ULBP1,3.993562
USA002-102_C2D28_Healthy,HLA-DMB,-0.49969
USA002-102_C2D28_Healthy,CDKN1C,-0.379718
USA002-102_C2D28_Healthy,CEP55,-2.352329
USA002-102_C2D28_Healthy,ARG1,0.34859
USA002-102_C2D28_Healthy,PLOD2,-3.41424
USA002-102_C2D28_Healthy,LAIR1,-1.531717
USA002-102_C2D28_Healthy,SHC2,-1.880437
USA002-102_C2D28_Healthy,STAT3,1.256441
USA002-102_C2D28_Healthy,CCL17,3.287872
USA002-102_C2D28_Healthy,CD45RO,-1.151138
USA002-102_C2D28_Healthy,CD2,-1.202288
USA002-102_C2D28_Healthy,IL7R,-2.709377
USA002-102_C2D28_Healthy,FLNB,0.928331
USA002-102_C2D28_Healthy,PSMB5,1.685894
USA002-102_C2D28_Healthy,SLC1A5,-0.220329
USA002-102_C2D28_Healthy,RICTOR,0.642997
USA002-102_C2D28_Healthy,ZAP70,-3.114292
USA002-102_C2D28_Healthy,TNFAIP6,-2.59824
USA002-102_C2D28_Healthy,BTLA,-4.007661
USA002-102_C2D28_Healthy,RELA,0.315288
USA002-102_C2D28_Healthy,STAT5B,6.766046
USA002-102_C2D28_Healthy,MMP7,-2.700255
USA002-102_C2D28_Healthy,TCF3,0.092101
USA002-102_C2D28_Healthy,IRF8,-0.753147
USA002-102_C2D28_Healthy,NOS2,-2.921091
USA002-102_C2D28_Healthy,A2M,1.624136
USA002-102_C2D28_Healthy,CCL20,-2.67998
USA002-102_C2D28_Healthy,MKI67,-1.916483
USA002-102_C2D28_Healthy,IFNGR1,2.237321
USA002-102_C2D28_Healthy,INHBA,-3.868086
USA002-102_C2D28_Healthy,WNT5B,-2.764662
USA002-102_C2D28_Healthy,CXCL5,-2.43071
USA002-102_C2D28_Healthy,SOX10,-2.454671
USA002-102_C2D28_Healthy,EGR1,0.68954
USA002-102_C2D28_Healthy,STAT4,-2.51976
USA002-102_C2D28_Healthy,IFIT3,-0.645752
USA002-102_C2D28_Healthy,GMIP,-2.210665
USA002-102_C2D28_Healthy,ARNT2,-4.140966
USA002-102_C2D28_Healthy,UBE2C,-2.751873
USA002-102_C2D28_Healthy,IKZF1,5.797649
USA002-102_C2D28_Healthy,CHUK,-0.070878
USA002-102_C2D28_Healthy,T3JAM,4.619348
USA002-102_C2D28_Healthy,GHR,-1.174376
USA002-102_C2D28_Healthy,TPI1,1.921887
USA002-102_C2D28_Healthy,HAVCR2,-3.298088
USA002-102_C2D28_Healthy,GOT2,-1.090081
USA002-102_C2D28_Healthy,PIK3CA,-0.217126
USA002-102_C2D28_Healthy,TNFSF9,-1.58833
USA002-102_C2D28_Healthy,IDO1,-1.679788
USA002-102_C2D28_Healthy,APOE,2.565672
USA002-102_C2D28_Healthy,AICDA,2.750424
USA002-102_C2D28_Healthy,LILRB2,-1.306263
USA002-102_C2D28_Healthy,PARP4,-0.274099
USA002-102_C2D28_Healthy,PFKM,-2.571274
USA002-102_C2D28_Healthy,THY1,0.07094
USA002-102_C2D28_Healthy,SAMD9,-0.319775
USA002-102_C2D28_Healthy,TGFB1,0.396721
USA002-102_C2D28_Healthy,FCGR3A,3.566629
USA002-102_C2D28_Healthy,CD8A,-1.043695
USA002-102_C2D28_Healthy,SELE,-0.972981
USA002-102_C2D28_Healthy,CDKN2B,-1.010443
USA002-102_C2D28_Healthy,CD5,-2.693537
USA002-102_C2D28_Healthy,HLA-A,4.554639
USA002-102_C2D28_Healthy,FZD8,-1.758545
USA002-102_C2D28_Healthy,BCL2L1,0.402255
USA002-102_C2D28_Healthy,TNFRSF9,0.368589
USA002-102_C2D28_Healthy,XCL1/2,-1.071169
USA002-102_C2D28_Healthy,MAGEA4,-1.443437
USA002-102_C2D28_Healthy,PMS2,-0.633226
