sampleId,geneSymbol,expressionLevel
USA003-101_Pre_Tumor,ITGB3,-2.706879
USA003-101_Pre_Tumor,FCGR2B,-3.955192
USA003-101_Pre_Tumor,NRAS,0.649773
USA003-101_Pre_Tumor,IL34,-0.664257
USA003-101_Pre_Tumor,LAMA1,-2.658674
USA003-101_Pre_Tumor,CLEC4E,-2.655785
USA003-101_Pre_Tumor,IL18R1,-1.456145
USA003-101_Pre_Tumor,MFNG,0.187874
USA003-101_Pre_Tumor,TTC30A,-2.238176
USA003-101_Pre_Tumor,TNFRSF10C,-1.321139
USA003-103_C2D28_Tumor,IGHG1,9.12946
USA003-103_C2D28_Tumor,CCNO,-3.025106
USA003-103_C2D28_Tumor,MYC,1.793427
USA003-103_C2D28_Tumor,CD79A,-2.245895
USA003-103_C2D28_Tumor,FSTL3,-1.257188
USA003-103_C2D28_Tumor,VCAN,1.693323
USA003-103_C2D28_Tumor,CX3CL1,0.361614
USA003-103_C2D28_Tumor,ERBB2,-0.019067
USA003-103_C2D28_Tumor,FAM124B,-3.002146
USA003-103_C2D28_Tumor,AKT1,1.837785
USA003-103_C2D28_Tumor,SMAD4,7.726838
USA003-103_C2D28_Tumor,KDR,-1.791237
USA003-103_C2D28_Tumor,EGF,-5.204065
USA003-103_C2D28_Tumor,MAGEA12,-6.048796
USA003-103_C2D28_Tumor,IFNA1,-5.716057
USA003-103_C2D28_Tumor,TGFB3,-0.328877
USA003-103_C2D28_Tumor,MFGE8,1.654706
USA003-103_C2D28_Tumor,CXCL2,-1.290722
USA003-103_C2D28_Tumor,CCND2,0.370074
USA003-103_C2D28_Tumor,PDZK1IP1,-0.669737
USA003-103_C2D28_Tumor,JAG2,-3.847252
USA003-103_C2D28_Tumor,C5,-3.538613
USA003-103_C2D28_Tumor,CD79B,-3.473883
USA003-103_C2D28_Tumor,CXCR2,-3.532675
USA003-103_C2D28_Tumor,PSMB10,-0.370495
USA003-103_C2D28_Tumor,ZEB1,0.842981
USA003-103_C2D28_Tumor,ANLN,-2.296048
USA003-103_C2D28_Tumor,TAF3,-2.008576
USA003-103_C2D28_Tumor,CD276,-0.098782
USA003-103_C2D28_Tumor,ICAM1,0.344705
USA003-103_C2D28_Tumor,IL16,1.296252
USA003-103_C2D28_Tumor,CXCL3,-3.428028
USA003-103_C2D28_Tumor,PRR5,-1.980357
USA003-103_C2D28_Tumor,CTSW,-1.806875
USA003-103_C2D28_Tumor,CXCR4,-1.404123
USA003-103_C2D28_Tumor,IFNGR2,1.052199
USA003-103_C2D28_Tumor,CDH11,0.449915
USA003-103_C2D28_Tumor,COL6A3,3.32213
USA003-103_C2D28_Tumor,GZMK,0.077642
USA003-103_C2D28_Tumor,IRF2,-0.158156
USA003-103_C2D28_Tumor,RPL7A,5.897623
USA003-103_C2D28_Tumor,GPR160,-2.137593
USA003-103_C2D28_Tumor,MICA,-0.566072
USA003-103_C2D28_Tumor,TAPBPL,-0.15221
USA003-103_C2D28_Tumor,LCP1,10.063755
USA003-103_C2D28_Tumor,CXCL14,6.774228
USA003-103_C2D28_Tumor,CD14,1.012157
USA003-103_C2D28_Tumor,IL18,1.489858
USA003-103_C2D28_Tumor,CLEC14A,-0.009417
USA003-103_C2D28_Tumor,HMGB1,-0.705327
USA003-103_C2D28_Tumor,KIF2C,-2.133614
USA003-103_C2D28_Tumor,DNMT3A,7.885812
USA003-103_C2D28_Tumor,RNLS,-3.291578
USA003-103_C2D28_Tumor,RPTOR,-0.494306
USA003-103_C2D28_Tumor,CD68,-0.28881
USA003-103_C2D28_Tumor,CCL13,-0.974764
USA003-103_C2D28_Tumor,CYBB,0.871806
USA003-103_C2D28_Tumor,PLA2G2A,-1.835452
USA003-103_C2D28_Tumor,FGF13,-2.816942
USA003-103_C2D28_Tumor,CNTFR,-1.508355
USA003-103_C2D28_Tumor,CD244,-2.275491
USA003-103_C2D28_Tumor,CSF2RB,-1.361078
USA003-103_C2D28_Tumor,MAP3K7,0.495884
USA003-103_C2D28_Tumor,FASLG,-0.873963
USA003-103_C2D28_Tumor,CD209,-2.287686
USA003-103_C2D28_Tumor,IRF7,-0.836819
USA003-103_C2D28_Tumor,PTCD2,-2.193101
USA003-103_C2D28_Tumor,PIK3R2,-0.804252
USA003-103_C2D28_Tumor,ULBP6(RAET1L),2.467246
USA003-103_C2D28_Tumor,LILRA5,-5.105237
USA003-103_C2D28_Tumor,IL32,2.339676
USA003-103_C2D28_Tumor,CCND3,-0.553424
USA003-103_C2D28_Tumor,BIRC5,0.607624
USA003-103_C2D28_Tumor,LGALS9,0.654367
USA003-103_C2D28_Tumor,RASAL1,-3.479378
USA003-103_C2D28_Tumor,PDCD1LG2,-1.300089
USA003-103_C2D28_Tumor,IL11,-3.149588
USA003-103_C2D28_Tumor,PRKX,-3.584475
USA003-103_C2D28_Tumor,SNCA,-2.551512
USA003-103_C2D28_Tumor,ADGRE1,-5.497243
USA003-103_C2D28_Tumor,IL1F7,5.567063
USA003-103_C2D28_Tumor,PSMB9,1.290012
USA003-103_C2D28_Tumor,RUNX3,-1.74505
USA003-103_C2D28_Tumor,PGPEP1,-2.442855
USA003-103_C2D28_Tumor,MELK,-1.93214
USA003-103_C2D28_Tumor,ISG15,0.430234
USA003-103_C2D28_Tumor,EIF2B4,-3.058221
USA003-103_C2D28_Tumor,IRF9,0.223499
USA003-103_C2D28_Tumor,IL1A,-3.916077
USA003-103_C2D28_Tumor,FCRL2,-4.299104
USA003-103_C2D28_Tumor,EIF4EBP1,-0.664828
USA003-103_C2D28_Tumor,LTBP1,0.201298
USA003-103_C2D28_Tumor,CD40LG,0.273107
USA003-103_C2D28_Tumor,HEY1,-2.198084
USA003-103_C2D28_Tumor,HLA-DQA1,2.913925
USA003-103_C2D28_Tumor,PRLR,-3.270815
USA003-103_C2D28_Tumor,TNFRSF11A,-1.622872
USA003-103_C2D28_Tumor,AREG,-3.284878
USA003-103_C2D28_Tumor,BBC3,-0.346577
USA003-103_C2D28_Tumor,EDN1,-1.129399
USA003-103_C2D28_Tumor,PARP12,-0.009644
USA003-103_C2D28_Tumor,PIK3CG,-1.753047
USA003-103_C2D28_Tumor,IL4,-3.473138
USA003-103_C2D28_Tumor,F2RL1,-1.77484
USA003-103_C2D28_Tumor,CXCL6,-5.370058
USA003-103_C2D28_Tumor,TNFSF18,-3.734689
USA003-103_C2D28_Tumor,JAK3,0.221512
USA003-103_C2D28_Tumor,NKG7,-0.253937
USA003-103_C2D28_Tumor,TAPBP,1.880958
USA003-103_C2D28_Tumor,MTOR,-0.599298
USA003-103_C2D28_Tumor,SELP,-1.075486
USA003-103_C2D28_Tumor,HLA-E,3.509597
USA003-103_C2D28_Tumor,GOT1,-1.188868
USA003-103_C2D28_Tumor,SMAP1,0.951205
USA003-103_C2D28_Tumor,CDKN1A,0.412267
USA003-103_C2D28_Tumor,CD45RA,-2.104678
USA003-103_C2D28_Tumor,HNF1A,-4.351119
USA003-103_C2D28_Tumor,TICAM1,-2.517601
USA003-103_C2D28_Tumor,C1QA,2.033233
USA003-103_C2D28_Tumor,CD86,-2.3507
USA003-103_C2D28_Tumor,ITGA4,-0.693237
USA003-103_C2D28_Tumor,ROR2,-1.756334
USA003-103_C2D28_Tumor,WNT7B,-2.118706
USA003-103_C2D28_Tumor,FLT1,-1.823447
USA003-103_C2D28_Tumor,CTAG1B,-4.850429
USA003-103_C2D28_Tumor,CLEC7A,-1.477867
USA003-103_C2D28_Tumor,TNFRSF4,-3.015126
USA003-103_C2D28_Tumor,MS4A6A,-0.607674
USA003-103_C2D28_Tumor,ZNF385A,6.831032
USA003-103_C2D28_Tumor,ANGPT2,-2.751659
USA003-103_C2D28_Tumor,APH1B,-3.247126
