sampleId,geneSymbol,expressionLevel
USA004-101_Pre_Tumor,TREM2,-2.922212
USA004-101_Pre_Tumor,CCL26,0.539394
USA004-101_Pre_Tumor,LAMC2,-2.004279
USA004-101_Pre_Tumor,AQP9,-2.24647
USA004-101_Pre_Tumor,NKp30(NCR3),0.524582
USA004-101_Pre_Tumor,PRKCA,-1.844288
USA004-101_Pre_Tumor,TSLP,-3.195375
USA004-101_Pre_Tumor,HLA-DOB,-3.330825
USA004-101_Pre_Tumor,ANGPTL4,-1.605433
USA004-101_Pre_Tumor,TNFRSF25,0.146932
USA004-101_Pre_Tumor,MS4A4A,-0.581178
USA004-101_Pre_Tumor,CLEC5A,-2.174402
USA004-101_Pre_Tumor,ITGAM,-2.290208
USA004-101_Pre_Tumor,MMP9,0.466794
USA004-101_Pre_Tumor,CD7,-4.337792
USA004-101_Pre_Tumor,VHL,-3.192214
USA004-101_Pre_Tumor,OLFML2B,-0.516234
USA004-101_Pre_Tumor,IL6,-4.094607
USA004-101_Pre_Tumor,TNFRSF1A,1.02835
USA004-101_Pre_Tumor,DKK1,-1.894671
USA004-101_Pre_Tumor,FANCA,-2.715347
USA004-101_Pre_Tumor,TNF,-2.287628
USA004-101_Pre_Tumor,LTB,-2.590427
USA004-101_Pre_Tumor,PPARGC1B,-1.984578
USA004-101_Pre_Tumor,RPS6KB1,-0.695758
USA004-101_Pre_Tumor,CD38,-3.278639
USA004-101_Pre_Tumor,DTX3L,0.77291
USA004-101_Pre_Tumor,TMEM173,-1.145564
USA004-101_Pre_Tumor,TYK2,3.905634
USA004-101_Pre_Tumor,NEIL1,-2.39699
USA004-101_Pre_Tumor,HELLS,-0.775871
USA004-101_Pre_Tumor,TGFBR1,0.464512
USA004-101_Pre_Tumor,MB21D1,-1.929134
USA004-101_Pre_Tumor,CCR2,-3.458656
USA004-101_Pre_Tumor,MSH2,-1.221036
USA004-101_Pre_Tumor,RAD51,-2.829292
USA004-101_Pre_Tumor,TNFRSF18,-2.307659
USA004-101_Pre_Tumor,FCGR3A/B,-1.722697
USA004-101_Pre_Tumor,STAT1,1.50435
USA004-101_Pre_Tumor,CTSS,1.594744
