sampleId,geneSymbol,expressionLevel
USA010-102_Pre_Healthy,NKG2A(KLRC1),2.771882
USA010-102_Pre_Healthy,TNFRSF17,-4.689275
USA010-102_Pre_Healthy,TLR8,-4.007866
USA010-102_Pre_Healthy,TPM1,2.565095
USA010-102_Pre_Healthy,CXorf36,-2.350997
USA010-102_Pre_Healthy,NLRP3,-5.394882
USA010-102_Pre_Healthy,DEFB134,-4.573978
USA010-102_Pre_Healthy,HLA-DQA2,-1.142518
USA010-102_Pre_Healthy,IGHM,5.39308
USA010-102_Pre_Healthy,CX3CR1,-2.180571
USA010-102_Pre_Healthy,APLNR,-3.140774
USA010-102_Pre_Healthy,MXI1,-1.583207
USA010-102_Pre_Healthy,FZD9,-3.97959
USA010-102_Pre_Healthy,COL4A5,-0.899078
USA010-102_Pre_Healthy,FCAR,-4.679612
USA010-102_Pre_Healthy,BRCA2,-2.717485
USA010-102_Pre_Healthy,SFRP4,-3.163573
USA010-102_Pre_Healthy,TLR3,-0.723273
USA010-102_Pre_Healthy,IL2RG,-2.354259
USA010-102_Pre_Healthy,CD84,-0.017317
USA010-102_Pre_Healthy,HLA-DPA1,1.120994
USA010-102_Pre_Healthy,RBL2,1.122185
USA010-102_Pre_Healthy,CCL18,0.367336
USA010-102_Pre_Healthy,IRF3,0.48178
USA010-102_Pre_Healthy,TNFRSF8,-4.017444
USA010-102_Pre_Healthy,KIR3DL2,-5.138359
USA010-102_Pre_Healthy,TNFSF13,-1.406388
USA010-102_Pre_Healthy,CLECL1,-3.658423
USA010-102_Pre_Healthy,TNFRSF10B,-1.131683
USA010-102_Pre_Healthy,MAGEC2,-5.350478
USA010-102_Pre_Healthy,CDKN2A,-2.830268
USA010-102_Pre_Healthy,ADM,-0.418747
USA010-102_Pre_Healthy,PNOC,-4.87298
USA010-102_Pre_Healthy,CD247,-1.198246
USA010-102_Pre_Healthy,PTPRC,-0.3854
USA010-102_Pre_Healthy,OAS3,-1.397693
USA010-102_Pre_Healthy,LAG3,-3.814404
USA010-102_Pre_Healthy,FOSL1,-3.608705
USA010-102_Pre_Healthy,EOMES,-4.546083
USA010-102_Pre_Healthy,IL10RA,-1.091874
USA010-102_Pre_Healthy,WDR76,-2.442211
USA010-102_Pre_Healthy,GPC4,-2.913014
USA010-102_Pre_Healthy,GTSF1,2.953748
USA010-102_Pre_Healthy,SLAMF7,-4.359003
USA010-102_Pre_Healthy,RSAD2,-2.91161
USA010-102_Pre_Healthy,TLR5,-3.157734
USA010-102_Pre_Healthy,VEGFA,-0.470188
USA010-102_Pre_Healthy,ULBP3,3.34474
USA010-102_Pre_Healthy,COL5A1,0.238692
USA010-102_Pre_Healthy,CD3D,0.217221
USA010-102_Pre_Healthy,FBP1,-0.402806
USA010-102_Pre_Healthy,ERO1A,-0.143634
USA010-102_Pre_Healthy,CCL21,0.925562
USA010-102_Pre_Healthy,E2F3,-1.929668
USA010-102_Pre_Healthy,LDHA,3.138389
USA010-102_Pre_Healthy,MS4A1,-3.530166
USA010-102_Pre_Healthy,CD69,-0.846502
USA010-102_Pre_Healthy,SERPINB5,1.735482
USA010-102_Pre_Healthy,FAP,-3.075464
USA010-102_Pre_Healthy,ITGA2,-0.37706
USA010-102_Pre_Healthy,SIGLEC5,-4.895682
USA010-102_Pre_Healthy,SIRPB2,-2.33165
USA010-102_Pre_Healthy,EPM2AIP1,-0.074053
USA010-102_Pre_Healthy,FGF18,-1.151322
USA010-102_Pre_Healthy,HRAS,1.423027
USA010-102_Pre_Healthy,CCND1,1.637773
USA010-102_Pre_Healthy,LAMB3,0.904148
USA010-102_Pre_Healthy,IL26,4.777186
USA010-102_Pre_Healthy,ID4,0.962248
USA010-102_Pre_Healthy,ITK,5.330412
USA010-102_Pre_Healthy,CCL4,-4.175227
USA010-102_Pre_Healthy,GZMH,-5.264468
USA010-102_Pre_Healthy,API5,1.614469
USA010-102_Pre_Healthy,PTGER4,-0.472423
USA010-102_Pre_Healthy,ITGB8,-0.085972
USA010-102_Pre_Healthy,TNKS,-0.51384
USA010-102_Pre_Healthy,CEACAM1,5.765164
USA010-102_Pre_Healthy,B2M,5.553408
USA010-102_Pre_Healthy,TP53,0.850931
USA010-102_Pre_Healthy,MAGEB2,-3.582345
USA010-102_Pre_Healthy,LYZ,3.681943
USA010-102_Pre_Healthy,NCAM1,-1.969379
USA010-102_Pre_Healthy,TCL1A,-4.34323
USA010-102_Pre_Healthy,HDC,-2.484915
USA010-102_Pre_Healthy,CD27,-2.095548
USA010-102_Pre_Healthy,SBNO2,1.690727
USA010-102_Pre_Healthy,PECAM1,-0.283262
USA010-102_Pre_Healthy,SERPINH1,-0.950509
USA010-102_Pre_Healthy,SPP1,-3.445247
USA010-102_Pre_Healthy,EGFR,0.713265
USA010-102_Pre_Healthy,CASP8,-0.396812
USA010-102_Pre_Healthy,CCNA1,-4.495977
USA010-102_Pre_Healthy,TNFAIP3,-1.890126
USA010-102_Pre_Healthy,CDC25C,-4.195184
