sampleId,geneSymbol,expressionLevel
USA011-103_Pre_Healthy,MMRN2,0.182903
USA011-103_Pre_Healthy,PTGS2,-3.200935
USA011-103_Pre_Healthy,SMAD5,-0.173724
USA011-103_Pre_Healthy,CEACAM5,2.601721
USA011-103_Pre_Healthy,LCK,-3.347673
USA011-103_Pre_Healthy,ITGB3,-2.30815
USA011-103_Pre_Healthy,FCGR2B,-2.845877
USA011-103_Pre_Healthy,NRAS,0.357947
USA011-103_Pre_Healthy,IL34,-0.32699
USA011-103_Pre_Healthy,LAMA1,-3.507787
USA011-103_Pre_Healthy,CLEC4E,-3.878686
USA011-103_Pre_Healthy,IL18R1,-2.036283
USA011-103_Pre_Healthy,MFNG,-1.556961
USA011-103_Pre_Healthy,TTC30A,-3.170752
USA011-103_Pre_Healthy,TNFRSF10C,-3.157347
USA011-103_Pre_Tumor,IGHG1,13.433397
USA011-103_Pre_Tumor,CCNO,-1.714728
USA011-103_Pre_Tumor,MYC,2.249921
USA011-103_Pre_Tumor,CD79A,0.537855
USA011-103_Pre_Tumor,FSTL3,-2.037475
USA011-103_Pre_Tumor,VCAN,0.603353
USA011-103_Pre_Tumor,CX3CL1,0.886536
USA011-103_Pre_Tumor,ERBB2,-1.024976
USA011-103_Pre_Tumor,FAM124B,-2.37562
USA011-103_Pre_Tumor,AKT1,1.851047
USA011-103_Pre_Tumor,SMAD4,6.730993
USA011-103_Pre_Tumor,KDR,-2.029573
USA011-103_Pre_Tumor,EGF,-3.95324
USA011-103_Pre_Tumor,MAGEA12,-4.792304
USA011-103_Pre_Tumor,IFNA1,-5.072236
USA011-103_Pre_Tumor,TGFB3,-0.003743
USA011-103_Pre_Tumor,MFGE8,0.92336
USA011-103_Pre_Tumor,CXCL2,1.285177
USA011-103_Pre_Tumor,CCND2,-0.128644
USA011-103_Pre_Tumor,PDZK1IP1,-2.098188
USA011-103_Pre_Tumor,JAG2,-3.329989
USA011-103_Pre_Tumor,C5,-2.404943
USA011-103_Pre_Tumor,CD79B,-2.43903
USA011-103_Pre_Tumor,CXCR2,-2.787273
USA011-103_Pre_Tumor,PSMB10,0.955258
USA011-103_Pre_Tumor,ZEB1,0.819273
USA011-103_Pre_Tumor,ANLN,-2.453314
USA011-103_Pre_Tumor,TAF3,-2.723194
USA011-103_Pre_Tumor,CD276,-0.083353
USA011-103_Pre_Tumor,ICAM1,1.371601
USA011-103_Pre_Tumor,IL16,1.2893
USA011-103_Pre_Tumor,CXCL3,-2.195774
USA011-103_Pre_Tumor,PRR5,-2.440427
USA011-103_Pre_Tumor,CTSW,-1.907274
USA011-103_Pre_Tumor,CXCR4,0.491474
USA011-103_Pre_Tumor,IFNGR2,2.263265
USA011-103_Pre_Tumor,CDH11,0.487172
USA011-103_Pre_Tumor,COL6A3,2.264261
USA011-103_Pre_Tumor,GZMK,-0.189815
USA011-103_Pre_Tumor,IRF2,-0.084379
USA011-103_Pre_Tumor,RPL7A,5.489457
USA011-103_Pre_Tumor,GPR160,-1.921859
USA011-103_Pre_Tumor,MICA,-0.274006
USA011-103_Pre_Tumor,TAPBPL,-0.091437
USA011-103_Pre_Tumor,LCP1,10.036012
USA011-103_Pre_Tumor,CXCL14,4.110155
USA011-103_Pre_Tumor,CD14,1.457559
USA011-103_Pre_Tumor,IL18,-0.037416
USA011-103_Pre_Tumor,CLEC14A,-0.753568
USA011-103_Pre_Tumor,HMGB1,-1.349004
USA011-103_Pre_Tumor,KIF2C,-1.82503
USA011-103_Pre_Tumor,DNMT3A,6.174982
USA011-103_Pre_Tumor,RNLS,-3.675332
USA011-103_Pre_Tumor,RPTOR,-0.641093
USA011-103_Pre_Tumor,CD68,0.09074
USA011-103_Pre_Tumor,CCL13,1.953887
USA011-103_Pre_Tumor,CYBB,1.801352
USA011-103_Pre_Tumor,PLA2G2A,-3.778246
USA011-103_Pre_Tumor,FGF13,-4.182626
USA011-103_Pre_Tumor,CNTFR,-2.145885
USA011-103_Pre_Tumor,CD244,-1.858603
USA011-103_Pre_Tumor,CSF2RB,-0.102572
USA011-103_Pre_Tumor,MAP3K7,0.568713
USA011-103_Pre_Tumor,FASLG,-1.639467
USA011-103_Pre_Tumor,CD209,-0.238995
USA011-103_Pre_Tumor,IRF7,0.024527
USA011-103_Pre_Tumor,PTCD2,-2.351
USA011-103_Pre_Tumor,PIK3R2,-0.542391
USA011-103_Pre_Tumor,ULBP6(RAET1L),2.471499
USA011-103_Pre_Tumor,LILRA5,-2.908723
USA011-103_Pre_Tumor,IL32,2.579901
USA011-103_Pre_Tumor,CCND3,-0.150182
USA011-103_Pre_Tumor,BIRC5,-0.689148
USA011-103_Pre_Tumor,LGALS9,0.796372
USA011-103_Pre_Tumor,RASAL1,-3.362803
USA011-103_Pre_Tumor,PDCD1LG2,-0.500405
USA011-103_Pre_Tumor,IL11,-2.654435
USA011-103_Pre_Tumor,PRKX,-3.375131
USA011-103_Pre_Tumor,SNCA,-2.987573
USA011-103_Pre_Tumor,ADGRE1,-3.724153
USA011-103_Pre_Tumor,IL1F7,5.251846
USA011-103_Pre_Tumor,PSMB9,2.621689
USA011-103_Pre_Tumor,RUNX3,-0.985062
USA011-103_Pre_Tumor,PGPEP1,-1.542099
USA011-103_Pre_Tumor,MELK,-2.296857
USA011-103_Pre_Tumor,ISG15,0.756107
USA011-103_Pre_Tumor,EIF2B4,-1.980553
USA011-103_Pre_Tumor,IRF9,0.560443
USA011-103_Pre_Tumor,IL1A,-3.838457
USA011-103_Pre_Tumor,FCRL2,-2.159182
